01-08-2021 06:02:17 | imap_monitor | INFO | ... script started
01-08-2021 06:02:17 | imap_monitor | INFO | setting path for email downloads - ./download
01-08-2021 06:02:17 | imap_monitor | INFO | connecting to IMAP server - mail.webiptek.com
01-08-2021 06:02:17 | imap_monitor | INFO | server connection established
01-08-2021 06:02:17 | imap_monitor | INFO | logging in to IMAP server - user@webiptek.com
01-08-2021 06:02:18 | imap_monitor | INFO | login successful - b'Logged in'
01-08-2021 06:02:18 | imap_monitor | INFO | selecting IMAP folder - INBOX
01-08-2021 06:02:18 | imap_monitor | INFO | folder selected
01-08-2021 06:02:18 | imap_monitor | WARNING | 0 unread messages seen - []
01-08-2021 06:02:23 | imap_monitor | INFO | ... script started
01-08-2021 06:02:23 | imap_monitor | INFO | setting path for email downloads - ./download
01-08-2021 06:02:23 | imap_monitor | INFO | connecting to IMAP server - mail.webiptek.com
01-08-2021 06:02:23 | imap_monitor | INFO | server connection established
01-08-2021 06:02:23 | imap_monitor | INFO | logging in to IMAP server - user@webiptek.com
01-08-2021 06:02:23 | imap_monitor | INFO | login successful - b'Logged in'
01-08-2021 06:02:23 | imap_monitor | INFO | selecting IMAP folder - INBOX
01-08-2021 06:02:23 | imap_monitor | INFO | folder selected
01-08-2021 06:02:23 | imap_monitor | WARNING | 0 unread messages seen - []
01-08-2021 06:02:26 | imap_monitor | INFO | ... script started
01-08-2021 06:02:26 | imap_monitor | INFO | setting path for email downloads - ./download
01-08-2021 06:02:26 | imap_monitor | INFO | connecting to IMAP server - mail.webiptek.com
01-08-2021 06:02:26 | imap_monitor | INFO | server connection established
01-08-2021 06:02:26 | imap_monitor | INFO | logging in to IMAP server - user@webiptek.com
01-08-2021 06:02:27 | imap_monitor | INFO | login successful - b'Logged in'
01-08-2021 06:02:27 | imap_monitor | INFO | selecting IMAP folder - INBOX
01-08-2021 06:02:27 | imap_monitor | INFO | folder selected
01-08-2021 06:02:27 | imap_monitor | WARNING | 0 unread messages seen - []
01-08-2021 06:02:51 | imap_monitor | INFO | ... script started
01-08-2021 06:02:51 | imap_monitor | INFO | setting path for email downloads - ./download
01-08-2021 06:02:51 | imap_monitor | INFO | connecting to IMAP server - mail.webiptek.com
01-08-2021 06:02:51 | imap_monitor | INFO | server connection established
01-08-2021 06:02:51 | imap_monitor | INFO | logging in to IMAP server - user@webiptek.com
01-08-2021 06:02:51 | imap_monitor | INFO | login successful - b'Logged in'
01-08-2021 06:02:51 | imap_monitor | INFO | selecting IMAP folder - INBOX
01-08-2021 06:02:51 | imap_monitor | INFO | folder selected
01-08-2021 06:02:51 | imap_monitor | WARNING | 0 unread messages seen - []
01-08-2021 06:02:58 | imap_monitor | INFO | ... script started
01-08-2021 06:02:58 | imap_monitor | INFO | setting path for email downloads - ./download
01-08-2021 06:02:58 | imap_monitor | INFO | connecting to IMAP server - mail.webiptek.com
01-08-2021 06:02:58 | imap_monitor | INFO | server connection established
01-08-2021 06:02:58 | imap_monitor | INFO | logging in to IMAP server - user@webiptek.com
01-08-2021 06:02:59 | imap_monitor | INFO | login successful - b'Logged in'
01-08-2021 06:02:59 | imap_monitor | INFO | selecting IMAP folder - INBOX
01-08-2021 06:02:59 | imap_monitor | INFO | folder selected
